timepoint,site,mean,std
early,AG,378.8893617409799,11.034064977652173
early,JH,372.369021342804,9.562066018562602
early,MG,384.2601633151261,11.764239168057651
early,UI,346.1548927021863,10.364968790618232
early,UT,374.2734654961862,10.012018511586017
early,YL,353.46731236552904,17.70095676673507
late,AG,362.6929360997133,10.80022974495192
late,JH,368.3564218528804,10.463124686343201
late,MG,367.5380036026556,13.70738394802672
late,UI,334.16855327344155,9.670264541263315
late,UT,358.9623965559291,13.18535022325636
late,YL,340.85272944617117,16.089407593528428
