site_dicom,site_name,site_id
Augusta_University,Augusta,AG
MGH,MGH,MG
Yale_University,Yale,YL
DII_UT_Health,UTexas,UT
Kennedy_Krieger_Institute,JHU,JH
University_of_Iowa,UIowa,IW
