subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
VH2032,JH,JHU,early,11.96437643,444.0791779,3.483000415,6.27E-04,0.001789871,5.46E-04,26.47542765,12.06269179,21.09187433,10.18344031,17.83563902
VH2033,JH,JHU,early,16.36537695,426.7688009,17.52975209,5.79E-04,0.001558589,4.72E-04,25.85919049,12.21134077,19.95733013,9.280863545,14.32763623
VH2034,JH,JHU,early,11.61337638,384.0649208,16.88512701,6.61E-04,0.001754871,5.44E-04,26.25219813,12.97120916,20.15111863,9.78120343,18.26431774
VH2036,JH,JHU,early,11.95425143,432.6683016,1.971000235,6.66E-04,0.001782577,5.63E-04,26.26630016,13.07349768,21.09369818,10.57246531,17.66003686
VH2038,JH,JHU,early,10.41862624,392.3775468,61.69500735,6.76E-04,0.001779424,4.95E-04,25.2608137,12.40241186,15.43604202,9.025116047,16.6305841
VH2038,JH,JHU,late,0,46.48725554,0,7.12E-04,NA,NA,26.62513943,NA,NA,7.89209481,14.71419028
AM4560,MG,MGH,early,9.558001139,417.6664248,16.82775201,6.57E-04,0.001808401,5.81E-04,21.34210803,10.24502933,16.09359683,2.700575309,4.649409204
AM4561,MG,MGH,early,16.25400194,485.3891829,0,7.27E-04,0.001903047,NA,21.55233852,9.714233328,NA,3.801657049,6.234679789
AM4562,MG,MGH,early,8.356500996,385.782796,70.68600843,7.12E-04,0.001851205,5.33E-04,22.06021974,10.6761821,12.80623514,3.354419586,5.975238721
AM4563,MG,MGH,early,8.150625972,404.9561733,46.88213059,6.57E-04,0.001778007,5.36E-04,20.91464514,9.849353355,12.1230484,2.46329929,4.000242288
AM4565,MG,MGH,early,7.63425091,385.583671,33.97612905,6.86E-04,0.001839956,5.80E-04,21.28684266,10.09810288,15.01512685,2.544449679,4.36889228
AM4566,MG,MGH,early,10.41525124,411.220174,52.66350628,6.67E-04,0.001766194,5.17E-04,21.52891977,10.24088853,12.08655329,2.92034752,5.104073748
AM4568,MG,MGH,early,8.454376008,400.4032977,57.0645068,6.55E-04,0.001709492,5.32E-04,21.81192303,10.70848333,12.49066068,2.818064568,5.483453354
