subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
AM3262,AG,Augusta,early,5.2008756199926385,424.51092560564183,6.922125825181636,6.129369369550204E-4,0.00155485759522176,5.662861251486417E-4,19.75632270532589,10.165043554856823,14.739219242395395,1.9989327541271047,5.099185592960828
AM3273,AG,Augusta,early,4.694625559642933,432.44217655112055,1.03612512351573,7.233246883901747E-4,0.0017779687301360879,6.09033242659007E-4,19.47769404826193,9.739161474253958,14.59589352592195,1.9565169154482223,4.50085507818565
FR8240,AG,Augusta,early,9.261001103997275,397.9901724441219,42.717380092308126,6.467489723417685E-4,0.0016088349045167403,4.755987794024957E-4,19.660223306088024,9.881790714430739,11.721800671119958,2.1170905327285063,5.527789416649541
KW8621,AG,Augusta,early,4.060125484004636,404.5275482234378,15.865876891359763,6.473020477380821E-4,0.0015983043363548548,5.861144137699039E-4,19.53729452233312,10.042986677967303,12.681718836335826,1.9461562769230227,5.268864453959399
KW8622,AG,Augusta,early,5.092875607118034,427.23117592992094,15.81187688492246,7.709306584485163E-4,0.001750093201935079,6.636637003388743E-4,19.279341988727133,8.892979361190948,10.980920604621021,1.885760602270692,4.735581944524019
KW8624,AG,Augusta,early,4.596750547975324,429.8738012449464,0.0,6.406626417177462E-4,0.0016278261662407527,NA,19.624513382918984,10.571883676685776,NA,2.2602904516830273,5.498914494710779
QC1655,AG,Augusta,early,7.668000914096869,420.91992517756125,10.600876263722828,6.04704477958475E-4,0.0015166965008382915,5.471319163215907E-4,18.817348665615427,10.044420900059418,14.270615529118356,1.75452133796217,4.258265008598958
QC1656,AG,Augusta,early,17.80987712310263,436.3740520198366,8.170875974044243,6.469144477878033E-4,0.0016130061753922627,5.462591619233716E-4,19.270473566555367,9.337577071360663,13.66756148084241,2.028668729057876,5.159342016590228
QC1658,AG,Augusta,early,6.098625727012783,428.98617613913325,14.266126700654693,6.593980227411558E-4,0.0016310457242642467,6.163290271724639E-4,19.833275452825134,9.608742662207092,13.887763174764084,2.1090140206405303,5.557780848747208
VH5211,AG,Augusta,early,5.838750696033267,405.4084233284463,3.5133754188269544,6.295518513184366E-4,0.0015872642282811075,5.192603178069236E-4,19.903646309485065,10.1110378014559,13.868556729883785,1.9756128873778052,5.107864621292472
VH5214,AG,Augusta,early,7.344000875473057,413.2080492582341,3.574125426068919,6.144834754413465E-4,0.0015694876299355255,5.545029604281869E-4,19.82799014525322,9.876074539607062,15.619735141426354,1.8983782832991256,4.841669203760855
AM5393,IW,UIowa,early,5.285250630050923,367.4936688086557,41.829754986494976,7.967141915957013E-4,0.001977770237815905,7.128772894240181E-4,23.464372600903832,10.01146007592803,15.698643977937918,4.8162177838617275,8.682876155513329
AM5395,IW,UIowa,early,5.865750699251918,376.4272948736268,35.81212926913815,7.560461977524362E-4,0.0019546120159083633,6.346516669659238E-4,23.278220483774472,10.990213606793807,13.492214540455144,4.218897214782324,7.814378464192615
AM5396,IW,UIowa,early,5.842125696435598,388.7392963413317,28.262253369122877,7.538290021249619E-4,0.0020270031566959217,6.2072560253637E-4,23.65563870024992,11.028983784713613,14.903417738519764,4.085099241132481,7.5768839830957315
AM5397,IW,UIowa,early,11.674126391664203,411.6825490763803,3.418875407561676,7.986985632547903E-4,0.0021628392520370073,5.771966568999469E-4,23.056565694685627,9.38039362555072,16.62553434946224,4.594072864064574,8.344458334647586
FR4975,IW,UIowa,early,6.027750718563824,374.432669635849,37.54350447553414,7.648967924176633E-4,0.0019656937033061066,6.561474454240088E-4,23.552778224498482,10.840448560800157,15.406089280072582,4.792143402865172,8.783549185317959
FR4976,IW,UIowa,early,5.612625669077065,375.8636698064375,48.82950582093024,7.598589435491569E-4,0.0019608318114903,5.863085214555524E-4,24.141435285670294,11.53294518032636,13.165586320576761,4.54525615192735,8.356398305051005
FR4977,IW,UIowa,early,12.031876434311329,395.2699221198429,28.204878362283246,7.63777269812709E-4,0.0020475777296145637,6.919921836220673E-4,23.069502446449658,10.290858591723074,15.746661857852843,4.146907269645658,7.692028198104034
KX0575,IW,UIowa,early,5.173875616773987,375.22241972999456,25.913253089100245,7.741542996568372E-4,0.0019807229448834023,6.448259784323744E-4,23.35891521579677,10.575414612801808,16.170431712668027,4.480585705142069,8.03230696033618
KX0576,IW,UIowa,early,4.944375589415454,366.0457936360555,67.58438305668565,7.684039955621819E-4,0.0018852479600128256,5.931952608958266E-4,23.3502704626858,11.540700971063087,12.685462682345387,4.530854198636607,8.371854142153547
KX0577,IW,UIowa,early,3.003750358074918,395.8976721946765,61.114507285416416,7.643448091218038E-4,0.001886194653997428,6.07478000163902E-4,23.356078428574165,12.136867570609189,12.53020333082491,4.109875156306757,7.254713428314473
